cell_type,cell_type_cl_id,tissue,tissue_ontology_id,tissue_uberon_id,n_cells
fibroblast,CL:0000057,sclera,UBERON:0001773,UBERON:0001773,36
fibroblast,CL:0000057,sigmoid colon,UBERON:0001159,UBERON:0001159,308
fibroblast,CL:0000057,skin of abdomen,UBERON:0001416,UBERON:0001416,710
fibroblast,CL:0000057,skin of body,UBERON:0002097,UBERON:0002097,2401
fibroblast,CL:0000057,skin of chest,UBERON:0001868,UBERON:0001868,958
fibroblast,CL:0000057,small intestine,UBERON:0002108,UBERON:0002108,111
fibroblast,CL:0000057,spleen,UBERON:0002106,UBERON:0002106,1
fibroblast,CL:0000057,stomach,UBERON:0000945,UBERON:0000945,1732
fibroblast,CL:0000057,stomach smooth muscle,UBERON:0004222,UBERON:0004222,4650
fibroblast,CL:0000057,subcutaneous adipose tissue,UBERON:0002190,UBERON:0002190,10074
fibroblast,CL:0000057,sublingual gland,UBERON:0001832,UBERON:0001832,2007
fibroblast,CL:0000057,submandibular gland,UBERON:0001736,UBERON:0001736,668
fibroblast,CL:0000057,thoracic aorta,UBERON:0001515,UBERON:0001515,752
fibroblast,CL:0000057,thymus,UBERON:0002370,UBERON:0002370,272
fibroblast,CL:0000057,tongue,UBERON:0001723,UBERON:0001723,1
fibroblast,CL:0000057,trachea,UBERON:0003126,UBERON:0003126,1800
fibroblast,CL:0000057,uterus,UBERON:0000995,UBERON:0000995,282
fibroblast,CL:0000057,vasculature,UBERON:0002049,UBERON:0002049,971
fibroblast of breast,CL:4006000,mammary gland,UBERON:0001911,UBERON:0001911,5270
fibroblast of cardiac tissue,CL:0002548,cardiac atrium,UBERON:0002081,UBERON:0002081,155
fibroblast of cardiac tissue,CL:0002548,cardiac ventricle,UBERON:0002082,UBERON:0002082,152
fibroblast of cardiac tissue,CL:0002548,heart,UBERON:0000948,UBERON:0000948,466
fibroblast of cardiac tissue,CL:0002548,heart right ventricle,UBERON:0002080,UBERON:0002080,579
fibroblast of cardiac tissue,CL:0002548,right cardiac atrium,UBERON:0002078,UBERON:0002078,595
gamma-delta T cell,CL:0000798,ascending colon,UBERON:0001156,UBERON:0001156,875
gamma-delta T cell,CL:0000798,duodenum,UBERON:0002114,UBERON:0002114,34
gamma-delta T cell,CL:0000798,ileum,UBERON:0002116,UBERON:0002116,58
gamma-delta T cell,CL:0000798,jejunum,UBERON:0002115,UBERON:0002115,1
gamma-delta T cell,CL:0000798,large intestine,UBERON:0000059,UBERON:0000059,584
gamma-delta T cell,CL:0000798,sigmoid colon,UBERON:0001159,UBERON:0001159,397
gamma-delta T cell,CL:0000798,small intestine,UBERON:0002108,UBERON:0002108,28
glandular secretory epithelial cell,CL:0000150,left ovary,UBERON:0002119,UBERON:0002119,75
glandular secretory epithelial cell,CL:0000150,ovary,UBERON:0000992,UBERON:0000992,3
glandular secretory epithelial cell,CL:0000150,right ovary,UBERON:0002118,UBERON:0002118,157
glial cell,CL:0000125,left ovary,UBERON:0002119,UBERON:0002119,14
glial cell,CL:0000125,ovary,UBERON:0000992,UBERON:0000992,1
glial cell,CL:0000125,right ovary,UBERON:0002118,UBERON:0002118,5
granulocyte,CL:0000094,bone marrow,UBERON:0002371,UBERON:0002371,635
granulocyte,CL:0000094,endometrium,UBERON:0001295,UBERON:0001295,1
granulocyte,CL:0000094,muscle of abdomen,UBERON:0002378,UBERON:0002378,91
granulocyte,CL:0000094,muscle of pelvic diaphragm,UBERON:0008612,UBERON:0008612,3
granulocyte,CL:0000094,trachea,UBERON:0003126,UBERON:0003126,39
hematopoietic cell,CL:0000988,crista ampullaris,UBERON:0004721,UBERON:0004721,81
hematopoietic cell,CL:0000988,utricle of membranous labyrinth,UBERON:0001853,UBERON:0001853,19
hematopoietic precursor cell,CL:0008001,adipose tissue,UBERON:0001013,UBERON:0001013,1
hematopoietic precursor cell,CL:0008001,blood,UBERON:0000178,UBERON:0000178,131
hematopoietic precursor cell,CL:0008001,bone marrow,UBERON:0002371,UBERON:0002371,1720
hematopoietic precursor cell,CL:0008001,brown adipose tissue,UBERON:0001348,UBERON:0001348,72
hematopoietic precursor cell,CL:0008001,inguinal lymph node,UBERON:0001542,UBERON:0001542,1
hematopoietic precursor cell,CL:0008001,left ovary,UBERON:0002119,UBERON:0002119,1
hematopoietic precursor cell,CL:0008001,liver,UBERON:0002107,UBERON:0002107,41
hematopoietic precursor cell,CL:0008001,lymph node,UBERON:0000029,UBERON:0000029,11
hematopoietic precursor cell,CL:0008001,parotid gland,UBERON:0001831,UBERON:0001831,1
hematopoietic precursor cell,CL:0008001,spleen,UBERON:0002106,UBERON:0002106,68
hematopoietic precursor cell,CL:0008001,subcutaneous adipose tissue,UBERON:0002190,UBERON:0002190,1
hematopoietic precursor cell,CL:0008001,thymus,UBERON:0002370,UBERON:0002370,92
hematopoietic stem cell,CL:0000037,blood,UBERON:0000178,UBERON:0000178,64
hematopoietic stem cell,CL:0000037,bone marrow,UBERON:0002371,UBERON:0002371,792
hematopoietic stem cell,CL:0000037,spleen,UBERON:0002106,UBERON:0002106,2
hepatic stellate cell,CL:0000632,liver,UBERON:0002107,UBERON:0002107,223
hepatocyte,CL:0000182,liver,UBERON:0002107,UBERON:0002107,7414
innate lymphoid cell,CL:0001065,ascending colon,UBERON:0001156,UBERON:0001156,8
innate lymphoid cell,CL:0001065,duodenum,UBERON:0002114,UBERON:0002114,15
innate lymphoid cell,CL:0001065,ileum,UBERON:0002116,UBERON:0002116,10
innate lymphoid cell,CL:0001065,inguinal lymph node,UBERON:0001542,UBERON:0001542,477
innate lymphoid cell,CL:0001065,large intestine,UBERON:0000059,UBERON:0000059,1
innate lymphoid cell,CL:0001065,lymph node,UBERON:0000029,UBERON:0000029,184
innate lymphoid cell,CL:0001065,mesenteric lymph node,UBERON:0002509,UBERON:0002509,84
innate lymphoid cell,CL:0001065,sigmoid colon,UBERON:0001159,UBERON:0001159,4
innate lymphoid cell,CL:0001065,small intestine,UBERON:0002108,UBERON:0002108,9
innate lymphoid cell,CL:0001065,spleen,UBERON:0002106,UBERON:0002106,170
innate lymphoid cell,CL:0001065,thymus,UBERON:0002370,UBERON:0002370,2
innate lymphoid cell,CL:0001065,trachea,UBERON:0003126,UBERON:0003126,2
innate lymphoid cell,CL:0001065,uterus,UBERON:0000995,UBERON:0000995,5
intermediate monocyte,CL:0002393,adipose tissue,UBERON:0001013,UBERON:0001013,24
intermediate monocyte,CL:0002393,aorta,UBERON:0000947,UBERON:0000947,8
intermediate monocyte,CL:0002393,blood,UBERON:0000178,UBERON:0000178,1036
intermediate monocyte,CL:0002393,bone marrow,UBERON:0002371,UBERON:0002371,224
intermediate monocyte,CL:0002393,brown adipose tissue,UBERON:0001348,UBERON:0001348,10
intermediate monocyte,CL:0002393,coronary artery,UBERON:0001621,UBERON:0001621,4
intermediate monocyte,CL:0002393,crista ampullaris,UBERON:0004721,UBERON:0004721,3
intermediate monocyte,CL:0002393,endometrium,UBERON:0001295,UBERON:0001295,5
intermediate monocyte,CL:0002393,exocrine pancreas,UBERON:0000017,UBERON:0000017,42
intermediate monocyte,CL:0002393,eye,UBERON:0000970,UBERON:0000970,4
intermediate monocyte,CL:0002393,eyelid,UBERON:0001711,UBERON:0001711,12
intermediate monocyte,CL:0002393,inguinal lymph node,UBERON:0001542,UBERON:0001542,26
intermediate monocyte,CL:0002393,kidney,UBERON:0002113,UBERON:0002113,2
intermediate monocyte,CL:0002393,lacrimal gland,UBERON:0001817,UBERON:0001817,11
intermediate monocyte,CL:0002393,liver,UBERON:0002107,UBERON:0002107,557
intermediate monocyte,CL:0002393,lung,UBERON:0002048,UBERON:0002048,2785
intermediate monocyte,CL:0002393,lymph node,UBERON:0000029,UBERON:0000029,251
intermediate monocyte,CL:0002393,mesenteric lymph node,UBERON:0002509,UBERON:0002509,4
intermediate monocyte,CL:0002393,muscle of pelvic diaphragm,UBERON:0008612,UBERON:0008612,3
intermediate monocyte,CL:0002393,parotid gland,UBERON:0001831,UBERON:0001831,41
intermediate monocyte,CL:0002393,posterior segment of eyeball,UBERON:0001802,UBERON:0001802,1
intermediate monocyte,CL:0002393,sclera,UBERON:0001773,UBERON:0001773,2
intermediate monocyte,CL:0002393,spleen,UBERON:0002106,UBERON:0002106,396
intermediate monocyte,CL:0002393,subcutaneous adipose tissue,UBERON:0002190,UBERON:0002190,9
intermediate monocyte,CL:0002393,submandibular gland,UBERON:0001736,UBERON:0001736,1
intermediate monocyte,CL:0002393,thoracic aorta,UBERON:0001515,UBERON:0001515,1
intermediate monocyte,CL:0002393,trachea,UBERON:0003126,UBERON:0003126,16
interstitial cell of Cajal,CL:0002088,mucosa of stomach,UBERON:0001199,UBERON:0001199,70
interstitial cell of Cajal,CL:0002088,stomach smooth muscle,UBERON:0004222,UBERON:0004222,1
intestinal crypt stem cell of colon,CL:0009043,ascending colon,UBERON:0001156,UBERON:0001156,630
intestinal crypt stem cell of colon,CL:0009043,large intestine,UBERON:0000059,UBERON:0000059,28
intestinal crypt stem cell of colon,CL:0009043,sigmoid colon,UBERON:0001159,UBERON:0001159,1074
intestinal crypt stem cell of small intestine,CL:0009017,duodenum,UBERON:0002114,UBERON:0002114,253
intestinal crypt stem cell of small intestine,CL:0009017,ileum,UBERON:0002116,UBERON:0002116,59
intestinal crypt stem cell of small intestine,CL:0009017,jejunum,UBERON:0002115,UBERON:0002115,71
intestinal crypt stem cell of small intestine,CL:0009017,small intestine,UBERON:0002108,UBERON:0002108,204
intestinal tuft cell,CL:0019032,duodenum,UBERON:0002114,UBERON:0002114,159
intestinal tuft cell,CL:0019032,ileum,UBERON:0002116,UBERON:0002116,86
intestinal tuft cell,CL:0019032,jejunum,UBERON:0002115,UBERON:0002115,2
intestinal tuft cell,CL:0019032,small intestine,UBERON:0002108,UBERON:0002108,201
intrahepatic cholangiocyte,CL:0002538,liver,UBERON:0002107,UBERON:0002107,665
ionocyte,CL:0005006,parotid gland,UBERON:0001831,UBERON:0001831,15
ionocyte,CL:0005006,sublingual gland,UBERON:0001832,UBERON:0001832,126
ionocyte,CL:0005006,submandibular gland,UBERON:0001736,UBERON:0001736,1
ionocyte,CL:0005006,trachea,UBERON:0003126,UBERON:0003126,18
keratocyte,CL:0002363,anterior segment of eyeball,UBERON:0001801,UBERON:0001801,26
keratocyte,CL:0002363,buccal mucosa,UBERON:0006956,UBERON:0006956,14
keratocyte,CL:0002363,chorioretinal region,UBERON:0019207,UBERON:0019207,1
keratocyte,CL:0002363,conjunctiva,UBERON:0001811,UBERON:0001811,4
keratocyte,CL:0002363,cornea,UBERON:0000964,UBERON:0000964,76
keratocyte,CL:0002363,eye,UBERON:0000970,UBERON:0000970,338
keratocyte,CL:0002363,eyelid,UBERON:0001711,UBERON:0001711,39
keratocyte,CL:0002363,lacrimal gland,UBERON:0001817,UBERON:0001817,110
keratocyte,CL:0002363,posterior segment of eyeball,UBERON:0001802,UBERON:0001802,15
keratocyte,CL:0002363,sclera,UBERON:0001773,UBERON:0001773,378
kidney epithelial cell,CL:0002518,cortex of kidney,UBERON:0001225,UBERON:0001225,43
kidney epithelial cell,CL:0002518,kidney,UBERON:0002113,UBERON:0002113,9235
large intestine goblet cell,CL:1000320,ascending colon,UBERON:0001156,UBERON:0001156,620
large intestine goblet cell,CL:1000320,large intestine,UBERON:0000059,UBERON:0000059,596
large intestine goblet cell,CL:1000320,sigmoid colon,UBERON:0001159,UBERON:0001159,341
leukocyte,CL:0000738,adipose tissue,UBERON:0001013,UBERON:0001013,109
leukocyte,CL:0000738,ovary,UBERON:0000992,UBERON:0000992,27
leukocyte,CL:0000738,subcutaneous adipose tissue,UBERON:0002190,UBERON:0002190,59
leukocyte,CL:0000738,sublingual gland,UBERON:0001832,UBERON:0001832,6
luminal cell of prostate epithelium,CL:0002340,prostate gland,UBERON:0002367,UBERON:0002367,10652
luminal epithelial cell of mammary gland,CL:0002326,mammary gland,UBERON:0001911,UBERON:0001911,15432
lung multiciliated epithelial cell,CL:1000271,lung,UBERON:0002048,UBERON:0002048,1209
macrophage,CL:0000235,abdominal aorta,UBERON:0001516,UBERON:0001516,32
macrophage,CL:0000235,adipose tissue,UBERON:0001013,UBERON:0001013,3885
macrophage,CL:0000235,anterior part of tongue,UBERON:0010032,UBERON:0010032,100
macrophage,CL:0000235,anterior segment of eyeball,UBERON:0001801,UBERON:0001801,3
macrophage,CL:0000235,aorta,UBERON:0000947,UBERON:0000947,3700
macrophage,CL:0000235,bladder organ,UBERON:0018707,UBERON:0018707,3152
macrophage,CL:0000235,blood,UBERON:0000178,UBERON:0000178,1228
macrophage,CL:0000235,bone marrow,UBERON:0002371,UBERON:0002371,358
macrophage,CL:0000235,brown adipose tissue,UBERON:0001348,UBERON:0001348,6633
macrophage,CL:0000235,buccal mucosa,UBERON:0006956,UBERON:0006956,39
macrophage,CL:0000235,cardiac atrium,UBERON:0002081,UBERON:0002081,23
macrophage,CL:0000235,cardiac ventricle,UBERON:0002082,UBERON:0002082,45
macrophage,CL:0000235,cornea,UBERON:0000964,UBERON:0000964,20
macrophage,CL:0000235,coronary artery,UBERON:0001621,UBERON:0001621,2539
macrophage,CL:0000235,cortex of kidney,UBERON:0001225,UBERON:0001225,6
macrophage,CL:0000235,crista ampullaris,UBERON:0004721,UBERON:0004721,265
macrophage,CL:0000235,duodenum,UBERON:0002114,UBERON:0002114,192
macrophage,CL:0000235,endocrine pancreas,UBERON:0000016,UBERON:0000016,3
macrophage,CL:0000235,endometrium,UBERON:0001295,UBERON:0001295,569
macrophage,CL:0000235,exocrine pancreas,UBERON:0000017,UBERON:0000017,1587
macrophage,CL:0000235,eye,UBERON:0000970,UBERON:0000970,38
macrophage,CL:0000235,eyelid,UBERON:0001711,UBERON:0001711,8
macrophage,CL:0000235,heart,UBERON:0000948,UBERON:0000948,299
macrophage,CL:0000235,heart right ventricle,UBERON:0002080,UBERON:0002080,176
macrophage,CL:0000235,ileum,UBERON:0002116,UBERON:0002116,44
macrophage,CL:0000235,inferior vena cava,UBERON:0001072,UBERON:0001072,50
macrophage,CL:0000235,inguinal lymph node,UBERON:0001542,UBERON:0001542,23
macrophage,CL:0000235,kidney,UBERON:0002113,UBERON:0002113,333
macrophage,CL:0000235,lacrimal gland,UBERON:0001817,UBERON:0001817,18
macrophage,CL:0000235,left coronary artery,UBERON:0001626,UBERON:0001626,27
macrophage,CL:0000235,left ovary,UBERON:0002119,UBERON:0002119,177
macrophage,CL:0000235,liver,UBERON:0002107,UBERON:0002107,3232
macrophage,CL:0000235,lung,UBERON:0002048,UBERON:0002048,16486
macrophage,CL:0000235,lymph node,UBERON:0000029,UBERON:0000029,1747
macrophage,CL:0000235,mammary gland,UBERON:0001911,UBERON:0001911,685
macrophage,CL:0000235,mesenteric lymph node,UBERON:0002509,UBERON:0002509,24
macrophage,CL:0000235,mucosa of stomach,UBERON:0001199,UBERON:0001199,705
macrophage,CL:0000235,muscle of abdomen,UBERON:0002378,UBERON:0002378,1832
macrophage,CL:0000235,muscle of pelvic diaphragm,UBERON:0008612,UBERON:0008612,897
macrophage,CL:0000235,muscularis mucosae of stomach,UBERON:0001203,UBERON:0001203,3
macrophage,CL:0000235,myometrium,UBERON:0001296,UBERON:0001296,255
macrophage,CL:0000235,parotid gland,UBERON:0001831,UBERON:0001831,327
macrophage,CL:0000235,posterior part of tongue,UBERON:0010033,UBERON:0010033,470
macrophage,CL:0000235,posterior segment of eyeball,UBERON:0001802,UBERON:0001802,1
macrophage,CL:0000235,prostate gland,UBERON:0002367,UBERON:0002367,1022
macrophage,CL:0000235,retinal neural layer,UBERON:0003902,UBERON:0003902,3
macrophage,CL:0000235,right cardiac atrium,UBERON:0002078,UBERON:0002078,148
macrophage,CL:0000235,right ovary,UBERON:0002118,UBERON:0002118,227
macrophage,CL:0000235,sclera,UBERON:0001773,UBERON:0001773,63
macrophage,CL:0000235,skin of abdomen,UBERON:0001416,UBERON:0001416,370
macrophage,CL:0000235,skin of body,UBERON:0002097,UBERON:0002097,2651
macrophage,CL:0000235,skin of chest,UBERON:0001868,UBERON:0001868,261
macrophage,CL:0000235,small intestine,UBERON:0002108,UBERON:0002108,130
macrophage,CL:0000235,spleen,UBERON:0002106,UBERON:0002106,2806
macrophage,CL:0000235,stomach,UBERON:0000945,UBERON:0000945,202
macrophage,CL:0000235,stomach smooth muscle,UBERON:0004222,UBERON:0004222,153
macrophage,CL:0000235,subcutaneous adipose tissue,UBERON:0002190,UBERON:0002190,4735
macrophage,CL:0000235,sublingual gland,UBERON:0001832,UBERON:0001832,963
macrophage,CL:0000235,submandibular gland,UBERON:0001736,UBERON:0001736,333
macrophage,CL:0000235,testis,UBERON:0000473,UBERON:0000473,1
macrophage,CL:0000235,thoracic aorta,UBERON:0001515,UBERON:0001515,586
macrophage,CL:0000235,thymus,UBERON:0002370,UBERON:0002370,770
macrophage,CL:0000235,trachea,UBERON:0003126,UBERON:0003126,712
macrophage,CL:0000235,uterus,UBERON:0000995,UBERON:0000995,105
macrophage,CL:0000235,utricle of membranous labyrinth,UBERON:0001853,UBERON:0001853,11
macrophage,CL:0000235,vasculature,UBERON:0002049,UBERON:0002049,584
male germ cell,CL:0000015,testis,UBERON:0000473,UBERON:0000473,116
mast cell,CL:0000097,abdominal aorta,UBERON:0001516,UBERON:0001516,7
mast cell,CL:0000097,adipose tissue,UBERON:0001013,UBERON:0001013,16
mast cell,CL:0000097,anterior part of tongue,UBERON:0010032,UBERON:0010032,7
mast cell,CL:0000097,anterior segment of eyeball,UBERON:0001801,UBERON:0001801,1
mast cell,CL:0000097,aorta,UBERON:0000947,UBERON:0000947,85
mast cell,CL:0000097,ascending colon,UBERON:0001156,UBERON:0001156,255
mast cell,CL:0000097,bladder organ,UBERON:0018707,UBERON:0018707,1568
mast cell,CL:0000097,brown adipose tissue,UBERON:0001348,UBERON:0001348,17
mast cell,CL:0000097,buccal mucosa,UBERON:0006956,UBERON:0006956,1
mast cell,CL:0000097,coronary artery,UBERON:0001621,UBERON:0001621,25
mast cell,CL:0000097,crista ampullaris,UBERON:0004721,UBERON:0004721,1
mast cell,CL:0000097,duodenum,UBERON:0002114,UBERON:0002114,131
mast cell,CL:0000097,endocrine pancreas,UBERON:0000016,UBERON:0000016,1
mast cell,CL:0000097,endometrium,UBERON:0001295,UBERON:0001295,46
mast cell,CL:0000097,exocrine pancreas,UBERON:0000017,UBERON:0000017,1
mast cell,CL:0000097,eye,UBERON:0000970,UBERON:0000970,5
mast cell,CL:0000097,eyelid,UBERON:0001711,UBERON:0001711,25
mast cell,CL:0000097,heart,UBERON:0000948,UBERON:0000948,2
mast cell,CL:0000097,heart right ventricle,UBERON:0002080,UBERON:0002080,1
mast cell,CL:0000097,ileum,UBERON:0002116,UBERON:0002116,42
mast cell,CL:0000097,inferior vena cava,UBERON:0001072,UBERON:0001072,4
mast cell,CL:0000097,inguinal lymph node,UBERON:0001542,UBERON:0001542,21
mast cell,CL:0000097,large intestine,UBERON:0000059,UBERON:0000059,51
mast cell,CL:0000097,left coronary artery,UBERON:0001626,UBERON:0001626,2
mast cell,CL:0000097,left ovary,UBERON:0002119,UBERON:0002119,1
mast cell,CL:0000097,liver,UBERON:0002107,UBERON:0002107,28
mast cell,CL:0000097,lung,UBERON:0002048,UBERON:0002048,3
mast cell,CL:0000097,lymph node,UBERON:0000029,UBERON:0000029,188
mast cell,CL:0000097,mammary gland,UBERON:0001911,UBERON:0001911,37
mast cell,CL:0000097,mesenteric lymph node,UBERON:0002509,UBERON:0002509,3
mast cell,CL:0000097,mucosa of stomach,UBERON:0001199,UBERON:0001199,36
mast cell,CL:0000097,muscle of abdomen,UBERON:0002378,UBERON:0002378,56
mast cell,CL:0000097,muscle of pelvic diaphragm,UBERON:0008612,UBERON:0008612,10
mast cell,CL:0000097,muscularis mucosae of stomach,UBERON:0001203,UBERON:0001203,4
mast cell,CL:0000097,myometrium,UBERON:0001296,UBERON:0001296,19
mast cell,CL:0000097,parotid gland,UBERON:0001831,UBERON:0001831,17
mast cell,CL:0000097,posterior part of tongue,UBERON:0010033,UBERON:0010033,69
mast cell,CL:0000097,prostate gland,UBERON:0002367,UBERON:0002367,26
mast cell,CL:0000097,right ovary,UBERON:0002118,UBERON:0002118,2
mast cell,CL:0000097,sclera,UBERON:0001773,UBERON:0001773,5
mast cell,CL:0000097,sigmoid colon,UBERON:0001159,UBERON:0001159,87
mast cell,CL:0000097,skin of abdomen,UBERON:0001416,UBERON:0001416,300
mast cell,CL:0000097,skin of body,UBERON:0002097,UBERON:0002097,1468
mast cell,CL:0000097,skin of chest,UBERON:0001868,UBERON:0001868,232
mast cell,CL:0000097,small intestine,UBERON:0002108,UBERON:0002108,77
mast cell,CL:0000097,stomach,UBERON:0000945,UBERON:0000945,884
mast cell,CL:0000097,stomach smooth muscle,UBERON:0004222,UBERON:0004222,44
mast cell,CL:0000097,subcutaneous adipose tissue,UBERON:0002190,UBERON:0002190,102
mast cell,CL:0000097,sublingual gland,UBERON:0001832,UBERON:0001832,10
mast cell,CL:0000097,submandibular gland,UBERON:0001736,UBERON:0001736,18
mast cell,CL:0000097,testis,UBERON:0000473,UBERON:0000473,1
mast cell,CL:0000097,thoracic aorta,UBERON:0001515,UBERON:0001515,8
mast cell,CL:0000097,thymus,UBERON:0002370,UBERON:0002370,24
mast cell,CL:0000097,trachea,UBERON:0003126,UBERON:0003126,119
mast cell,CL:0000097,utricle of membranous labyrinth,UBERON:0001853,UBERON:0001853,1
mast cell,CL:0000097,vasculature,UBERON:0002049,UBERON:0002049,28
mature NK T cell,CL:0000814,adipose tissue,UBERON:0001013,UBERON:0001013,98
mature NK T cell,CL:0000814,anterior segment of eyeball,UBERON:0001801,UBERON:0001801,1
mature NK T cell,CL:0000814,aorta,UBERON:0000947,UBERON:0000947,299
mature NK T cell,CL:0000814,ascending colon,UBERON:0001156,UBERON:0001156,10
mature NK T cell,CL:0000814,bladder organ,UBERON:0018707,UBERON:0018707,95
mature NK T cell,CL:0000814,blood,UBERON:0000178,UBERON:0000178,202
mature NK T cell,CL:0000814,bone marrow,UBERON:0002371,UBERON:0002371,64
mature NK T cell,CL:0000814,brown adipose tissue,UBERON:0001348,UBERON:0001348,151
mature NK T cell,CL:0000814,buccal mucosa,UBERON:0006956,UBERON:0006956,3
mature NK T cell,CL:0000814,cornea,UBERON:0000964,UBERON:0000964,1
mature NK T cell,CL:0000814,coronary artery,UBERON:0001621,UBERON:0001621,92
mature NK T cell,CL:0000814,endocrine pancreas,UBERON:0000016,UBERON:0000016,2
mature NK T cell,CL:0000814,endometrium,UBERON:0001295,UBERON:0001295,202
mature NK T cell,CL:0000814,eye,UBERON:0000970,UBERON:0000970,18
mature NK T cell,CL:0000814,eyelid,UBERON:0001711,UBERON:0001711,24
mature NK T cell,CL:0000814,heart,UBERON:0000948,UBERON:0000948,1
mature NK T cell,CL:0000814,heart right ventricle,UBERON:0002080,UBERON:0002080,3
mature NK T cell,CL:0000814,inguinal lymph node,UBERON:0001542,UBERON:0001542,99
mature NK T cell,CL:0000814,lacrimal gland,UBERON:0001817,UBERON:0001817,11
mature NK T cell,CL:0000814,large intestine,UBERON:0000059,UBERON:0000059,13
mature NK T cell,CL:0000814,left ovary,UBERON:0002119,UBERON:0002119,1
mature NK T cell,CL:0000814,liver,UBERON:0002107,UBERON:0002107,808
mature NK T cell,CL:0000814,lung,UBERON:0002048,UBERON:0002048,163
mature NK T cell,CL:0000814,lymph node,UBERON:0000029,UBERON:0000029,902
mature NK T cell,CL:0000814,mammary gland,UBERON:0001911,UBERON:0001911,14
mature NK T cell,CL:0000814,mesenteric lymph node,UBERON:0002509,UBERON:0002509,23
mature NK T cell,CL:0000814,mucosa of stomach,UBERON:0001199,UBERON:0001199,1
mature NK T cell,CL:0000814,muscle of abdomen,UBERON:0002378,UBERON:0002378,83
mature NK T cell,CL:0000814,muscle of pelvic diaphragm,UBERON:0008612,UBERON:0008612,15
mature NK T cell,CL:0000814,myometrium,UBERON:0001296,UBERON:0001296,5
mature NK T cell,CL:0000814,parotid gland,UBERON:0001831,UBERON:0001831,12
mature NK T cell,CL:0000814,posterior segment of eyeball,UBERON:0001802,UBERON:0001802,1
mature NK T cell,CL:0000814,prostate gland,UBERON:0002367,UBERON:0002367,487
mature NK T cell,CL:0000814,right cardiac atrium,UBERON:0002078,UBERON:0002078,3
mature NK T cell,CL:0000814,right ovary,UBERON:0002118,UBERON:0002118,1
mature NK T cell,CL:0000814,sclera,UBERON:0001773,UBERON:0001773,16
mature NK T cell,CL:0000814,sigmoid colon,UBERON:0001159,UBERON:0001159,24
mature NK T cell,CL:0000814,skin of abdomen,UBERON:0001416,UBERON:0001416,2
mature NK T cell,CL:0000814,skin of body,UBERON:0002097,UBERON:0002097,23
mature NK T cell,CL:0000814,skin of chest,UBERON:0001868,UBERON:0001868,5
mature NK T cell,CL:0000814,spleen,UBERON:0002106,UBERON:0002106,1029
mature NK T cell,CL:0000814,stomach,UBERON:0000945,UBERON:0000945,77
mature NK T cell,CL:0000814,stomach smooth muscle,UBERON:0004222,UBERON:0004222,9
mature NK T cell,CL:0000814,subcutaneous adipose tissue,UBERON:0002190,UBERON:0002190,129
mature NK T cell,CL:0000814,sublingual gland,UBERON:0001832,UBERON:0001832,5
mature NK T cell,CL:0000814,submandibular gland,UBERON:0001736,UBERON:0001736,6
mature NK T cell,CL:0000814,thoracic aorta,UBERON:0001515,UBERON:0001515,119
mature NK T cell,CL:0000814,trachea,UBERON:0003126,UBERON:0003126,37
mature NK T cell,CL:0000814,vasculature,UBERON:0002049,UBERON:0002049,5
medullary thymic epithelial cell,CL:0002365,thymus,UBERON:0002370,UBERON:0002370,43
melanocyte,CL:0000148,buccal mucosa,UBERON:0006956,UBERON:0006956,4
melanocyte,CL:0000148,crista ampullaris,UBERON:0004721,UBERON:0004721,123
melanocyte,CL:0000148,skin of abdomen,UBERON:0001416,UBERON:0001416,22
melanocyte,CL:0000148,skin of body,UBERON:0002097,UBERON:0002097,61
melanocyte,CL:0000148,skin of chest,UBERON:0001868,UBERON:0001868,19
melanocyte,CL:0000148,utricle of membranous labyrinth,UBERON:0001853,UBERON:0001853,5
mesenchymal cell,CL:0008019,muscle of pelvic diaphragm,UBERON:0008612,UBERON:0008612,2
mesenchymal stem cell,CL:0000134,adipose tissue,UBERON:0001013,UBERON:0001013,17
mesenchymal stem cell,CL:0000134,muscle of abdomen,UBERON:0002378,UBERON:0002378,18948
mesenchymal stem cell,CL:0000134,muscle of pelvic diaphragm,UBERON:0008612,UBERON:0008612,4534
mesenchymal stem cell of adipose tissue,CL:0002570,adipose tissue,UBERON:0001013,UBERON:0001013,827
mesenchymal stem cell of adipose tissue,CL:0002570,brown adipose tissue,UBERON:0001348,UBERON:0001348,2880
mesenchymal stem cell of adipose tissue,CL:0002570,subcutaneous adipose tissue,UBERON:0002190,UBERON:0002190,70
mesothelial cell,CL:0000077,cardiac atrium,UBERON:0002081,UBERON:0002081,4
mesothelial cell,CL:0000077,cardiac ventricle,UBERON:0002082,UBERON:0002082,3
mesothelial cell,CL:0000077,heart,UBERON:0000948,UBERON:0000948,147
mesothelial cell,CL:0000077,heart right ventricle,UBERON:0002080,UBERON:0002080,2
mesothelial cell,CL:0000077,lung,UBERON:0002048,UBERON:0002048,18
mesothelial cell,CL:0000077,muscle of abdomen,UBERON:0002378,UBERON:0002378,1
mesothelial cell,CL:0000077,thymus,UBERON:0002370,UBERON:0002370,175
microglial cell,CL:0000129,anterior segment of eyeball,UBERON:0001801,UBERON:0001801,26
microglial cell,CL:0000129,chorioretinal region,UBERON:0019207,UBERON:0019207,2
microglial cell,CL:0000129,cornea,UBERON:0000964,UBERON:0000964,24
microglial cell,CL:0000129,eye,UBERON:0000970,UBERON:0000970,146
